date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:02:38	136412/136412	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2015:02:39%20GMT	https://inet.detik.com/consumer/d-6986090/bocoran-terbaru-spesifikasi-xiaomi-14-bikin-tergoda	C:/Tugas%209/inet.detik.com/consumer/d-6986090/bocoran-terbaru-spesifikasi-xiaomi-14-bikin-tergoda.html	(from )
22:02:39	271/271	---MCZ	200	added ('OK')	text/plain	etag:W/%226513a3d9-2a4%22	https://inet.detik.com/robots.txt		(from )
22:02:39	86571/86571	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265237e51-1522b%22	https://cdn.detik.net.id/assets/js/jquery-min-3.2.1.js?v=2023101822168	C:/Tugas%209/cdn.detik.net.id/assets/js/jquery-min-3.2.1be28.js	(from https://inet.detik.com/consumer/d-6986090/bocoran-terbaru-spesifikasi-xiaomi-14-bikin-tergoda)
22:02:40	112029/112029	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2015:02:41%20GMT	https://inet.detik.com/consumer/d-6986090/bocoran-terbaru-spesifikasi-xiaomi-14-bikin-tergoda/amp	C:/Tugas%209/inet.detik.com/consumer/d-6986090/bocoran-terbaru-spesifikasi-xiaomi-14-bikin-tergoda/amp.html	(from https://inet.detik.com/consumer/d-6986090/bocoran-terbaru-spesifikasi-xiaomi-14-bikin-tergoda)
22:02:41	13537/13537	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2018%20Oct%202023%2015:02:42%20GMT	https://akcdn.detik.net.id/api/wm/2023/10/14/xiaomi-14-pro-1_169.jpeg?wid=54&w=650&v=1&t=jpeg	C:/Tugas%209/akcdn.detik.net.id/api/wm/2023/10/14/xiaomi-14-pro-1_169cdb5.jpg	(from https://inet.detik.com/consumer/d-6986090/bocoran-terbaru-spesifikasi-xiaomi-14-bikin-tergoda)
22:02:41	13867/13867	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2018%20Oct%202023%2015:02:42%20GMT	https://akcdn.detik.net.id/api/wm/2023/10/14/xiaomi-14-pro-1_169.jpeg?wid=60&w=650&v=1&t=jpeg	C:/Tugas%209/akcdn.detik.net.id/api/wm/2023/10/14/xiaomi-14-pro-1_16980fa.jpg	(from https://inet.detik.com/consumer/d-6986090/bocoran-terbaru-spesifikasi-xiaomi-14-bikin-tergoda)
22:02:42	464/464	---MCZ	200	added ('OK')	application/javascript	date:Wed%20Aug%2030%2013:25:09%20GMT%202023	https://applets.ebxcdn.com/ebx.js	C:/Tugas%209/applets.ebxcdn.com/ebx.js	(from https://inet.detik.com/consumer/d-6986090/bocoran-terbaru-spesifikasi-xiaomi-14-bikin-tergoda)
22:02:42	38613/38613	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261b17f6b-96d5%22	https://cdn.detik.net.id/libs/livecounter/detikLiveUserCounterResponse.js?v=2023101822	C:/Tugas%209/cdn.detik.net.id/libs/livecounter/detikLiveUserCounterResponse7108.js	(from https://inet.detik.com/consumer/d-6986090/bocoran-terbaru-spesifikasi-xiaomi-14-bikin-tergoda)
22:02:43	37918/37918	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225c0f5e3d-941e%22	https://post.detik.com/formv1/js/liveValidate.js	C:/Tugas%209/post.detik.com/formv1/js/liveValidate.js	(from https://inet.detik.com/consumer/d-6986090/bocoran-terbaru-spesifikasi-xiaomi-14-bikin-tergoda)
22:02:43	6486/6486	---MCZ	200	added ('OK')	text/css	etag:W/%2265237e51-1956%22	https://cdn.detik.net.id/assets/css/placeholder.css?v=2023101822168	C:/Tugas%209/cdn.detik.net.id/assets/css/placeholderbe28.css	(from https://inet.detik.com/consumer/d-6986090/bocoran-terbaru-spesifikasi-xiaomi-14-bikin-tergoda)
